,eventId,time,personCountryId
0,333,1653,Denmark
1,333,1671,USA
2,333,1699,USA
3,333,1712,USA
4,333,1717,Belgium
5,333,1720,USA
6,333,1725,Netherlands
7,333,1737,Sweden
8,333,1779,Japan
9,333,1851,Japan
10,333,1871,USA
11,333,1892,Poland
12,333,1939,USA
13,333,2019,Czech Republic
14,333,2030,Japan
15,333,2036,USA
16,333,2086,United Kingdom
17,333,2109,USA
18,333,2192,Sweden
19,333,2244,USA
20,333,2260,USA
21,333,2292,France
22,333,2300,USA
23,333,2332,France
24,333,2396,USA
25,333,2479,Canada
26,333,2487,Netherlands
27,333,2521,USA
28,333,2556,Canada
29,333,2594,USA
30,333,2601,USA
31,333,2878,USA
32,333,2988,USA
33,333,3025,USA
34,333,3072,USA
35,333,3172,USA
36,333,3228,Netherlands
37,333,3279,Canada
38,333,3393,Netherlands
39,333,3398,Canada
40,333,3414,USA
41,333,3669,Netherlands
42,333,3683,USA
43,333,3696,Canada
44,333,3734,USA
45,333,3745,USA
46,333,3997,Canada
47,333,4010,Canada
48,333,4067,USA
49,333,4077,USA
50,333,4094,USA
51,333,4261,USA
52,333,4361,United Kingdom
53,333,4676,Sweden
54,333,4869,USA
55,333,5026,Germany
56,333,5055,USA
57,333,5240,USA
58,333,5280,USA
59,333,5293,USA
60,333,5429,Australia
61,333,5782,Canada
62,333,5785,USA
63,333,5855,Sweden
64,333,5871,Canada
65,333,5876,USA
66,333,6422,Canada
67,333,6426,USA
68,333,6550,Canada
69,333,6551,Canada
70,333,6583,USA
71,333,6849,USA
72,333,6862,USA
73,333,7090,Canada
74,333,7379,USA
75,333,7388,Canada
76,333,7600,USA
77,333,8003,USA
78,333,8027,Canada
79,333,8109,USA
80,333,8471,Switzerland
81,333,9572,Canada
82,333,10085,Poland
83,333,14652,USA
84,333,23692,Netherlands
85,333bf,23600,Israel
86,333bf,39500,Japan
87,333fm,29,Czech Republic
88,333fm,36,USA
89,333oh,4498,USA
90,333oh,5404,USA
91,333oh,6205,USA
92,333oh,7067,Sweden
93,333oh,7453,Sweden
94,333oh,7458,USA
95,333oh,7904,USA
96,333oh,8019,USA
97,333oh,8135,USA
98,333oh,9288,USA
99,333oh,12345,USA
100,333oh,12623,Netherlands
101,444,8016,Japan
102,444,8046,Sweden
103,444,9669,USA
104,444,9717,Netherlands
105,444,11053,Japan
106,444,11715,USA
107,444,12092,USA
108,444,13002,USA
109,444,13555,France
110,444,14011,USA
111,444,14079,Belgium
112,444,14147,Netherlands
113,444,14992,Netherlands
114,444,15065,USA
115,444,15269,USA
116,444,15684,USA
117,444,19263,USA
118,444,19725,USA
119,444,20660,USA
120,444,20802,Australia
121,444,23407,USA
122,444,63800,Canada
123,444bf,135500,Israel
124,555,13969,Sweden
125,555,16696,Japan
126,555,19905,USA
127,555,20907,Netherlands
128,555,23843,USA
129,555,26137,USA
130,555,28535,USA
131,555,29243,Canada
132,555,30977,Japan
133,555,32300,Canada
134,555,32387,Belgium
135,555,32559,USA
136,555,32696,USA
137,555,39441,Japan
138,555,43130,USA
139,clock,3897,Netherlands
140,clock,4200,Australia
141,clock,4552,Belgium
142,clock,5420,USA
143,clock,9374,Netherlands
144,clock,12106,USA
145,magic,306,Netherlands
146,magic,327,USA
147,magic,451,USA
148,magic,518,USA
149,magic,583,Netherlands
150,magic,665,Netherlands
151,minx,13282,USA
152,minx,25238,USA
153,minx,26656,Netherlands
154,minx,28274,USA
155,minx,31264,USA
156,mmagic,822,Netherlands
157,mmagic,845,USA
158,mmagic,934,USA
159,mmagic,1085,USA
160,mmagic,1109,USA
161,pyram,1409,USA
162,pyram,1985,USA
163,pyram,2950,USA
164,pyram,3110,USA
165,pyram,3120,Netherlands
166,pyram,3502,United Kingdom
167,sq1,4180,Belgium
168,sq1,10212,USA
169,sq1,13428,Netherlands
170,sq1,13940,Canada
